ACRE – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),95,44,7378,5615,3,150874,0,33,0,0,0,0
Mudanças efetivas,40,6,4249,3853,0,74,0,0,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,40,6,4249,3853,0,74,0,0,0,0,0,0
Mudanças efetivas,0,44,78,2023,0,6077,0,0,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,44,78,2023,0,6077,0,0,0,0,0,0
Saldo mudanças efetivas,40,-38,4171,1830,0,-6003,0,0,0,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),135,6,11549,7445,3,144871,0,33,0,0,0,0
Mudanças efetivas,2,2,113,188,0,6,0,0,0,0,0,1
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,2,2,113,188,0,6,0,0,0,0,0,1
Mudanças efetivas,0,0,6,54,0,252,0,0,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,6,54,0,252,0,0,0,0,0,0
Saldo mudanças efetivas,2,2,107,134,0,-246,0,0,0,0,0,1
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),137,8,11656,7579,3,144625,0,33,0,0,0,1
Mudanças efetivas,20,0,495,1231,0,148,0,0,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,20,0,495,1231,0,148,0,0,0,0,0,0
Mudanças efetivas,0,0,10,419,0,1465,0,0,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,10,419,0,1465,0,0,0,0,0,0
Saldo mudanças efetivas,20,0,485,812,0,-1317,0,0,0,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),157,8,12141,8391,3,143308,0,33,0,0,0,1
Mudanças efetivas,1,0,372,317,0,17,0,0,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,1,0,372,317,0,17,0,0,0,0,0,0
Mudanças efetivas,0,0,13,310,0,384,0,0,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,13,310,0,384,0,0,0,0,0,0
Saldo mudanças efetivas,1,0,359,7,0,-367,0,0,0,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),158,8,12500,8398,3,142941,0,33,0,0,0,1
Mudanças efetivas,0,13,401,989,0,53,0,0,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,13,401,989,0,53,0,0,0,0,0,0
Mudanças efetivas,0,0,106,373,0,977,0,0,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,106,373,0,977,0,0,0,0,0,0
Saldo mudanças efetivas,0,13,295,616,0,-924,0,0,0,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),158,21,12795,9014,3,142017,0,33,0,0,0,1
Mudanças efetivas,3,15,703,744,0,10,0,0,0,0,0,0
Reavaliações para cima,20,0,1,41,0,1,0,0,0,0,0,0
Total de adições ao estoque,23,15,704,785,0,11,0,0,0,0,0,0
Mudanças efetivas,0,0,53,502,0,920,0,0,0,0,0,0
Reavaliações para baixo,43,0,5,15,0,0,0,0,0,0,0,0
Total de reduções do estoque,43,0,58,517,0,920,0,0,0,0,0,0
Saldo mudanças efetivas,3,15,650,242,0,-910,0,0,0,0,0,0
Saldo reavaliações,-23,0,-4,26,0,1,0,0,0,0,0,0
Estoque (2020),138,36,13441,9282,3,141108,0,33,0,0,0,1
