ALAGOAS – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),268,4597,2682,10758,0,1150,0,4406,3738,205,6,32
Mudanças efetivas,5,45,46,49,0,0,0,0,27,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,5,45,46,49,0,0,0,0,27,0,0,0
Mudanças efetivas,0,7,3,74,0,46,0,26,16,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,7,3,74,0,46,0,26,16,0,0,0
Saldo mudanças efetivas,5,38,43,-25,0,-46,0,-26,11,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),273,4635,2725,10733,0,1104,0,4380,3749,205,6,32
Mudanças efetivas,2,77,0,43,0,3,0,0,130,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,2,77,0,43,0,3,0,0,130,0,0,0
Mudanças efetivas,0,0,0,17,0,99,0,134,5,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,0,17,0,99,0,134,5,0,0,0
Saldo mudanças efetivas,2,77,0,26,0,-96,0,-134,125,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),275,4712,2725,10759,0,1008,0,4246,3874,205,6,32
Mudanças efetivas,8,55,0,58,0,8,0,59,238,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,8,55,0,58,0,8,0,59,238,0,0,0
Mudanças efetivas,0,11,2,38,0,74,0,234,67,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,11,2,38,0,74,0,234,67,0,0,0
Saldo mudanças efetivas,8,44,-2,20,0,-66,0,-175,171,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),283,4756,2723,10779,0,942,0,4071,4045,205,6,32
Mudanças efetivas,3,27,31,33,9,6,0,27,166,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,3,27,31,33,9,6,0,27,166,0,0,0
Mudanças efetivas,0,2,38,50,0,12,0,167,33,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,2,38,50,0,12,0,167,33,0,0,0
Saldo mudanças efetivas,3,25,-7,-17,9,-6,0,-140,133,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),286,4781,2716,10762,9,936,0,3931,4178,205,6,32
Mudanças efetivas,0,10,8,5,21,11,0,7,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,10,8,5,21,11,0,7,0,0,0,0
Mudanças efetivas,0,21,1,28,0,3,0,1,8,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,21,1,28,0,3,0,1,8,0,0,0
Saldo mudanças efetivas,0,-11,7,-23,21,8,0,6,-8,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),286,4770,2723,10739,30,944,0,3937,4170,205,6,32
Mudanças efetivas,5,14,0,0,59,0,0,0,4,1,0,0
Reavaliações para cima,94,0,0,44,0,3,0,15,17,3,0,0
Total de adições ao estoque,99,14,0,44,59,3,0,15,21,4,0,0
Mudanças efetivas,0,45,1,31,0,0,0,4,2,0,0,0
Reavaliações para baixo,55,14,0,69,0,0,0,2,12,24,0,0
Total de reduções do estoque,55,59,1,100,0,0,0,6,14,24,0,0
Saldo mudanças efetivas,5,-31,-1,-31,59,0,0,-4,2,1,0,0
Saldo reavaliações,39,-14,0,-25,0,3,0,13,5,-21,0,0
Estoque (2020),330,4725,2722,10683,89,947,0,3946,4177,185,6,32
