AMAPÁ – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),169,5,166,790,1463,114311,165,22465,223,2364,324,0
Mudanças efetivas,10,2,78,818,1,14,0,1,47,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,10,2,78,818,1,14,0,1,47,0,0,0
Mudanças efetivas,0,0,1,21,0,879,0,69,1,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,1,21,0,879,0,69,1,0,0,0
Saldo mudanças efetivas,10,2,77,797,1,-865,0,-68,46,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),179,7,243,1587,1464,113446,165,22397,269,2364,324,0
Mudanças efetivas,2,0,7,323,1,6,0,2,13,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,2,0,7,323,1,6,0,2,13,0,0,0
Mudanças efetivas,0,3,2,6,0,330,0,11,2,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,3,2,6,0,330,0,11,2,0,0,0
Saldo mudanças efetivas,2,-3,5,317,1,-324,0,-9,11,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),181,4,248,1904,1465,113122,165,22388,280,2364,324,0
Mudanças efetivas,3,132,2,11,20,0,0,0,4,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,3,132,2,11,20,0,0,0,4,0,0,0
Mudanças efetivas,0,0,105,2,2,12,0,31,20,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,105,2,2,12,0,31,20,0,0,0
Saldo mudanças efetivas,3,132,-103,9,18,-12,0,-31,-16,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),184,136,145,1913,1483,113110,165,22357,264,2364,324,0
Mudanças efetivas,0,17,3,230,0,21,0,4,15,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,17,3,230,0,21,0,4,15,0,0,0
Mudanças efetivas,0,0,3,24,0,232,4,27,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,3,24,0,232,4,27,0,0,0,0
Saldo mudanças efetivas,0,17,0,206,0,-211,-4,-23,15,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),184,153,145,2119,1483,112899,161,22334,279,2364,324,0
Mudanças efetivas,0,38,4,84,0,13,0,1,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,38,4,84,0,13,0,1,0,0,0,0
Mudanças efetivas,0,0,5,13,0,88,0,33,1,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,5,13,0,88,0,33,1,0,0,0
Saldo mudanças efetivas,0,38,-1,71,0,-75,0,-32,-1,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),184,191,144,2190,1483,112824,161,22302,278,2364,324,0
Mudanças efetivas,6,56,6,24,20,27,0,4,1,0,0,0
Reavaliações para cima,13,0,0,34,0,25,0,13,7,271,2,0
Total de adições ao estoque,19,56,6,58,20,52,0,17,8,271,2,0
Mudanças efetivas,0,6,3,46,0,27,0,56,6,0,0,0
Reavaliações para baixo,71,0,0,6,0,46,0,3,2,8,229,0
Total de reduções do estoque,71,6,3,52,0,73,0,59,8,8,229,0
Saldo mudanças efetivas,6,50,3,-22,20,0,0,-52,-5,0,0,0
Saldo reavaliações,-58,0,0,28,0,-21,0,10,5,263,-227,0
Estoque (2020),132,241,147,2196,1503,112803,161,22260,278,2627,97,0
