CEARÁ – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),1148,2033,698,7230,0,22092,0,87672,26281,1158,11,571
Mudanças efetivas,37,293,119,450,0,3,0,9,3092,0,0,1
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,37,293,119,450,0,3,0,9,3092,0,0,1
Mudanças efetivas,0,2,0,25,0,465,0,3372,140,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,2,0,25,0,465,0,3372,140,0,0,0
Saldo mudanças efetivas,37,291,119,425,0,-462,0,-3363,2952,0,0,1
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),1185,2324,817,7655,0,21630,0,84309,29233,1158,11,572
Mudanças efetivas,67,454,17,857,0,0,0,15,553,0,0,3
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,67,454,17,857,0,0,0,15,553,0,0,3
Mudanças efetivas,0,0,0,45,0,879,0,950,90,0,0,2
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,0,45,0,879,0,950,90,0,0,2
Saldo mudanças efetivas,67,454,17,812,0,-879,0,-935,463,0,0,1
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),1252,2778,834,8467,0,20751,0,83374,29696,1158,11,573
Mudanças efetivas,15,75,77,91,0,42,0,174,113,0,0,4
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,15,75,77,91,0,42,0,174,113,0,0,4
Mudanças efetivas,0,9,0,54,0,92,0,196,239,0,0,1
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,9,0,54,0,92,0,196,239,0,0,1
Saldo mudanças efetivas,15,66,77,37,0,-50,0,-22,-126,0,0,3
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),1267,2844,911,8504,0,20701,0,83352,29570,1158,11,576
Mudanças efetivas,1,97,1,28,0,41,0,19,89,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,1,97,1,28,0,41,0,19,89,0,0,0
Mudanças efetivas,0,10,0,42,0,19,0,161,44,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,10,0,42,0,19,0,161,44,0,0,0
Saldo mudanças efetivas,1,87,1,-14,0,22,0,-142,45,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),1268,2931,912,8490,0,20723,0,83210,29615,1158,11,576
Mudanças efetivas,17,67,29,72,2,208,0,226,397,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,17,67,29,72,2,208,0,226,397,0,0,0
Mudanças efetivas,0,2,26,227,0,75,0,424,264,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,2,26,227,0,75,0,424,264,0,0,0
Saldo mudanças efetivas,17,65,3,-155,2,133,0,-198,133,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),1285,2996,915,8335,2,20856,0,83012,29748,1158,11,576
Mudanças efetivas,38,47,25,22,0,2,0,27,91,17,0,0
Reavaliações para cima,112,0,0,46,0,10,0,51,245,66,0,5
Total de adições ao estoque,150,47,25,68,0,12,0,78,336,83,0,5
Mudanças efetivas,0,10,5,24,0,30,0,116,84,0,0,0
Reavaliações para baixo,350,0,0,10,0,1,0,45,108,11,0,10
Total de reduções do estoque,350,10,5,34,0,31,0,161,192,11,0,10
Saldo mudanças efetivas,38,37,20,-2,0,-28,0,-89,7,17,0,0
Saldo reavaliações,-238,0,0,36,0,9,0,6,137,55,0,-5
Estoque (2020),1085,3033,935,8369,2,20837,0,82929,29892,1230,11,571
