DISTRITO FEDERAL – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),666,1132,174,0,20,59,0,3226,437,47,0,0
Mudanças efetivas,34,171,49,0,2,0,0,0,32,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,34,171,49,0,2,0,0,0,32,0,0,0
Mudanças efetivas,0,1,3,0,0,1,0,256,27,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,1,3,0,0,1,0,256,27,0,0,0
Saldo mudanças efetivas,34,170,46,0,2,-1,0,-256,5,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),700,1302,220,0,22,58,0,2970,442,47,0,0
Mudanças efetivas,18,71,0,0,8,0,0,0,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,18,71,0,0,8,0,0,0,0,0,0,0
Mudanças efetivas,0,0,1,0,0,1,0,80,15,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,1,0,0,1,0,80,15,0,0,0
Saldo mudanças efetivas,18,71,-1,0,8,-1,0,-80,-15,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),718,1373,219,0,30,57,0,2890,427,47,0,0
Mudanças efetivas,7,4,0,0,9,0,0,0,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,7,4,0,0,9,0,0,0,0,0,0,0
Mudanças efetivas,0,0,9,0,0,0,0,4,7,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,9,0,0,0,0,4,7,0,0,0
Saldo mudanças efetivas,7,4,-9,0,9,0,0,-4,-7,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),725,1377,210,0,39,57,0,2886,420,47,0,0
Mudanças efetivas,0,0,0,0,0,0,0,0,0,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,0,0,0,0,0,0,0,0,0,0,0
Mudanças efetivas,0,0,0,0,0,0,0,0,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,0,0,0,0,0,0,0,0,0,0
Saldo mudanças efetivas,0,0,0,0,0,0,0,0,0,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),725,1377,210,0,39,57,0,2886,420,47,0,0
Mudanças efetivas,3,10,1,0,1,0,0,0,3,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,3,10,1,0,1,0,0,0,3,0,0,0
Mudanças efetivas,0,0,2,0,0,0,0,15,1,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,2,0,0,0,0,15,1,0,0,0
Saldo mudanças efetivas,3,10,-1,0,1,0,0,-15,2,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),728,1387,209,0,40,57,0,2871,422,47,0,0
Mudanças efetivas,7,6,5,0,0,0,0,0,14,0,0,0
Reavaliações para cima,18,0,4,0,0,0,0,45,161,0,0,0
Total de adições ao estoque,25,6,9,0,0,0,0,45,175,0,0,0
Mudanças efetivas,0,0,3,0,9,1,0,13,6,0,0,0
Reavaliações para baixo,210,0,0,0,0,0,0,6,12,0,0,0
Total de reduções do estoque,210,0,3,0,9,1,0,19,18,0,0,0
Saldo mudanças efetivas,7,6,2,0,-9,-1,0,-13,8,0,0,0
Saldo reavaliações,-192,0,4,0,0,0,0,39,149,0,0,0
Estoque (2020),543,1393,215,0,31,56,0,2897,579,47,0,0
