MARANHÃO – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),947,4468,36673,80817,406,75671,3398,111408,12222,2316,27,1284
Mudanças efetivas,180,3547,18375,2738,1237,49,0,43,912,0,0,2
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,180,3547,18375,2738,1237,49,0,43,912,0,0,2
Mudanças efetivas,0,7,411,15414,0,5970,0,4952,329,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,7,411,15414,0,5970,0,4952,329,0,0,0
Saldo mudanças efetivas,180,3540,17964,-12676,1237,-5921,0,-4909,583,0,0,2
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),1127,8008,54637,68141,1643,69750,3398,106499,12805,2316,27,1286
Mudanças efetivas,36,711,6380,1107,309,39,0,18,165,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,36,711,6380,1107,309,39,0,18,165,0,0,0
Mudanças efetivas,0,30,189,5584,0,1701,0,1099,162,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,30,189,5584,0,1701,0,1099,162,0,0,0
Saldo mudanças efetivas,36,681,6191,-4477,309,-1662,0,-1081,3,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),1163,8689,60828,63664,1952,68088,3398,105418,12808,2316,27,1286
Mudanças efetivas,66,1516,2094,866,409,140,5,84,646,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,66,1516,2094,866,409,140,5,84,646,0,0,0
Mudanças efetivas,0,11,512,1975,0,1058,0,2025,245,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,11,512,1975,0,1058,0,2025,245,0,0,0
Saldo mudanças efetivas,66,1505,1582,-1109,409,-918,5,-1941,401,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),1229,10194,62410,62555,2361,67170,3403,103477,13209,2316,27,1286
Mudanças efetivas,47,1068,1153,1969,368,195,0,41,138,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,47,1068,1153,1969,368,195,0,41,138,0,0,0
Mudanças efetivas,0,29,927,1325,0,1873,2,671,152,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,29,927,1325,0,1873,2,671,152,0,0,0
Saldo mudanças efetivas,47,1039,226,644,368,-1678,-2,-630,-14,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),1276,11233,62636,63199,2729,65492,3401,102847,13195,2316,27,1286
Mudanças efetivas,17,1608,1842,893,183,2051,0,355,486,0,0,1
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,17,1608,1842,893,183,2051,0,355,486,0,0,1
Mudanças efetivas,0,74,1319,3476,21,853,0,1225,468,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,74,1319,3476,21,853,0,1225,468,0,0,0
Saldo mudanças efetivas,17,1534,523,-2583,162,1198,0,-870,18,0,0,1
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),1293,12767,63159,60616,2891,66690,3401,101977,13213,2316,27,1287
Mudanças efetivas,35,1105,1699,301,250,238,0,61,437,0,0,0
Reavaliações para cima,103,0,5,319,0,32,0,3,62,13,1,0
Total de adições ao estoque,138,1105,1704,620,250,270,0,64,499,13,1,0
Mudanças efetivas,0,221,767,1380,20,593,0,962,183,0,0,0
Reavaliações para baixo,407,1,14,64,0,6,2,14,15,14,0,1
Total de reduções do estoque,407,222,781,1444,20,599,2,976,198,14,0,1
Saldo mudanças efetivas,35,884,932,-1079,230,-355,0,-901,254,0,0,0
Saldo reavaliações,-304,-1,-9,255,0,26,-2,-11,47,-1,1,-1
Estoque (2020),1024,13650,64082,59792,3121,66361,3399,101065,13514,2315,28,1286
