PARAÍBA – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),454,1515,1031,2629,35,4505,1,35063,11008,247,1,0
Mudanças efetivas,7,118,40,42,0,0,0,82,828,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,7,118,40,42,0,0,0,82,828,0,0,0
Mudanças efetivas,0,1,0,80,0,50,0,847,139,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,1,0,80,0,50,0,847,139,0,0,0
Saldo mudanças efetivas,7,117,40,-38,0,-50,0,-765,689,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),461,1632,1071,2591,35,4455,1,34298,11697,247,1,0
Mudanças efetivas,14,39,10,70,0,1,0,23,1447,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,14,39,10,70,0,1,0,23,1447,0,0,0
Mudanças efetivas,0,1,0,3,0,70,0,1477,53,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,1,0,3,0,70,0,1477,53,0,0,0
Saldo mudanças efetivas,14,38,10,67,0,-69,0,-1454,1394,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),475,1670,1081,2658,35,4386,1,32844,13091,247,1,0
Mudanças efetivas,4,3,25,7,0,0,0,84,373,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,4,3,25,7,0,0,0,84,373,0,0,0
Mudanças efetivas,0,0,0,3,0,19,0,382,92,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,0,3,0,19,0,382,92,0,0,0
Saldo mudanças efetivas,4,3,25,4,0,-19,0,-298,281,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),479,1673,1106,2662,35,4367,1,32546,13372,247,1,0
Mudanças efetivas,14,2,8,2,0,1,0,23,116,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,14,2,8,2,0,1,0,23,116,0,0,0
Mudanças efetivas,0,5,1,4,0,0,0,121,35,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,5,1,4,0,0,0,121,35,0,0,0
Saldo mudanças efetivas,14,-3,7,-2,0,1,0,-98,81,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),493,1670,1113,2660,35,4368,1,32448,13453,247,1,0
Mudanças efetivas,11,1,3,18,0,1,0,50,135,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,11,1,3,18,0,1,0,50,135,0,0,0
Mudanças efetivas,0,2,18,2,0,18,0,128,51,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,2,18,2,0,18,0,128,51,0,0,0
Saldo mudanças efetivas,11,-1,-15,16,0,-17,0,-78,84,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),504,1669,1098,2676,35,4351,1,32370,13537,247,1,0
Mudanças efetivas,11,36,6,4,0,0,0,6,12,0,0,0
Reavaliações para cima,41,1,0,38,0,16,0,6,39,3,0,0
Total de adições ao estoque,52,37,6,42,0,16,0,12,51,3,0,0
Mudanças efetivas,0,2,4,36,0,4,0,18,11,0,0,0
Reavaliações para baixo,99,4,0,14,0,1,0,6,19,1,0,0
Total de reduções do estoque,99,6,4,50,0,5,0,24,30,1,0,0
Saldo mudanças efetivas,11,34,2,-32,0,-4,0,-12,1,0,0,0
Saldo reavaliações,-58,-3,0,24,0,15,0,0,20,2,0,0
Estoque (2020),457,1700,1100,2668,35,4362,1,32358,13558,249,1,0
