RORAIMA – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),149,324,574,3270,0,175223,4735,38456,108,764,0,0
Mudanças efetivas,6,157,453,2948,0,18,0,0,74,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,6,157,453,2948,0,18,0,0,74,0,0,0
Mudanças efetivas,0,70,10,140,0,3272,0,163,1,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,70,10,140,0,3272,0,163,1,0,0,0
Saldo mudanças efetivas,6,87,443,2808,0,-3254,0,-163,73,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),155,411,1017,6078,0,171969,4735,38293,181,764,0,0
Mudanças efetivas,0,6,84,1256,0,10,0,0,22,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,6,84,1256,0,10,0,0,22,0,0,0
Mudanças efetivas,0,2,11,36,0,1302,0,27,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,2,11,36,0,1302,0,27,0,0,0,0
Saldo mudanças efetivas,0,4,73,1220,0,-1292,0,-27,22,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),155,415,1090,7298,0,170677,4735,38266,203,764,0,0
Mudanças efetivas,13,74,178,988,222,1,0,0,18,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,13,74,178,988,222,1,0,0,18,0,0,0
Mudanças efetivas,0,0,1,137,0,1036,0,313,7,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,1,137,0,1036,0,313,7,0,0,0
Saldo mudanças efetivas,13,74,177,851,222,-1035,0,-313,11,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),168,489,1267,8149,222,169642,4735,37953,214,764,0,0
Mudanças efetivas,2,37,140,371,0,17,0,0,20,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,2,37,140,371,0,17,0,0,20,0,0,0
Mudanças efetivas,0,0,18,146,0,374,0,49,0,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,0,18,146,0,374,0,49,0,0,0,0
Saldo mudanças efetivas,2,37,122,225,0,-357,0,-49,20,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),170,526,1389,8374,222,169285,4735,37904,234,764,0,0
Mudanças efetivas,0,177,83,345,5,75,0,1,11,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,0,177,83,345,5,75,0,1,11,0,0,0
Mudanças efetivas,0,5,17,147,4,352,0,169,3,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,5,17,147,4,352,0,169,3,0,0,0
Saldo mudanças efetivas,0,172,66,198,1,-277,0,-168,8,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),170,698,1455,8572,223,169008,4735,37736,242,764,0,0
Mudanças efetivas,6,217,200,391,0,24,0,5,9,0,0,0
Reavaliações para cima,18,0,0,12,0,1,0,6,20,1,0,0
Total de adições ao estoque,24,217,200,403,0,25,0,11,29,1,0,0
Mudanças efetivas,0,4,15,160,0,466,0,200,7,0,0,0
Reavaliações para baixo,39,0,0,5,0,1,0,13,0,0,0,0
Total de reduções do estoque,39,4,15,165,0,467,0,213,7,0,0,0
Saldo mudanças efetivas,6,213,185,231,0,-442,0,-195,2,0,0,0
Saldo reavaliações,-21,0,0,7,0,0,0,-7,20,1,0,0
Estoque (2020),155,911,1640,8810,223,168566,4735,37534,264,765,0,0
