RIO GRANDE DO SUL – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),2035,82648,812,51815,3153,18233,0,98182,8318,15800,15,728
Mudanças efetivas,81,7014,17,53,3548,5,0,5,423,0,0,4
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,81,7014,17,53,3548,5,0,5,423,0,0,4
Mudanças efetivas,0,62,13,949,8,356,0,9369,389,0,0,4
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,62,13,949,8,356,0,9369,389,0,0,4
Saldo mudanças efetivas,81,6952,4,-896,3540,-351,0,-9364,34,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),2116,89600,816,50919,6693,17882,0,88818,8352,15800,15,728
Mudanças efetivas,10,1742,4,27,682,1,0,10,207,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,10,1742,4,27,682,1,0,10,207,0,0,0
Mudanças efetivas,0,18,20,176,3,83,0,2314,64,0,0,5
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,18,20,176,3,83,0,2314,64,0,0,5
Saldo mudanças efetivas,10,1724,-16,-149,679,-82,0,-2304,143,0,0,-5
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),2126,91324,800,50770,7372,17800,0,86514,8495,15800,15,723
Mudanças efetivas,6,2297,5,87,553,11,0,75,876,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,6,2297,5,87,553,11,0,75,876,0,0,0
Mudanças efetivas,0,20,4,238,7,130,0,3316,195,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,20,4,238,7,130,0,3316,195,0,0,0
Saldo mudanças efetivas,6,2277,1,-151,546,-119,0,-3241,681,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),2132,93601,801,50619,7918,17681,0,83273,9176,15800,15,723
Mudanças efetivas,7,907,2,14,22,17,0,18,66,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,7,907,2,14,22,17,0,18,66,0,0,0
Mudanças efetivas,0,12,3,32,4,24,0,881,97,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,12,3,32,4,24,0,881,97,0,0,0
Saldo mudanças efetivas,7,895,-1,-18,18,-7,0,-863,-31,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),2139,94496,800,50601,7936,17674,0,82410,9145,15800,15,723
Mudanças efetivas,37,2418,23,11,128,28,0,210,19,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,37,2418,23,11,128,28,0,210,19,0,0,0
Mudanças efetivas,0,178,37,257,55,50,0,1725,572,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,178,37,257,55,50,0,1725,572,0,0,0
Saldo mudanças efetivas,37,2240,-14,-246,73,-22,0,-1515,-553,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),2176,96736,786,50355,8009,17652,0,80895,8592,15800,15,723
Mudanças efetivas,55,1356,20,9,21,6,0,101,4,0,0,0
Reavaliações para cima,533,320,0,66,2,4,0,5,29,24,2,1
Total de adições ao estoque,588,1676,20,75,23,10,0,106,33,24,2,1
Mudanças efetivas,0,77,21,78,86,21,0,1230,59,0,0,0
Reavaliações para baixo,116,33,0,437,1,39,0,197,160,3,0,0
Total de reduções do estoque,116,110,21,515,87,60,0,1427,219,3,0,0
Saldo mudanças efetivas,55,1279,-1,-69,-65,-15,0,-1129,-55,0,0,0
Saldo reavaliações,417,287,0,-371,1,-35,0,-192,-131,21,2,1
Estoque (2020),2648,98302,785,49915,7945,17602,0,79574,8406,15821,17,724
