SÃO PAULO – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),7385,79026,41017,65916,8847,30439,8,3121,8187,4250,15,0
Mudanças efetivas,49,13856,798,1227,1494,20,0,11,54,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,49,13856,798,1227,1494,20,0,11,54,0,0,0
Mudanças efetivas,0,124,3728,10385,388,1233,0,184,1467,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,124,3728,10385,388,1233,0,184,1467,0,0,0
Saldo mudanças efetivas,49,13732,-2930,-9158,1106,-1213,0,-173,-1413,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),7434,92758,38087,56758,9953,29226,8,2948,6774,4250,15,0
Mudanças efetivas,20,4271,590,474,513,5,0,1,25,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,20,4271,590,474,513,5,0,1,25,0,0,0
Mudanças efetivas,0,79,1128,3254,418,325,0,91,604,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,79,1128,3254,418,325,0,91,604,0,0,0
Saldo mudanças efetivas,20,4192,-538,-2780,95,-320,0,-90,-579,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),7454,96950,37549,53978,10048,28906,8,2858,6195,4250,15,0
Mudanças efetivas,32,2390,110,139,147,0,0,4,12,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,32,2390,110,139,147,0,0,4,12,0,0,0
Mudanças efetivas,0,64,1320,1122,41,118,0,26,143,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,64,1320,1122,41,118,0,26,143,0,0,0
Saldo mudanças efetivas,32,2326,-1210,-983,106,-118,0,-22,-131,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),7486,99276,36339,52995,10154,28788,8,2836,6064,4250,15,0
Mudanças efetivas,12,1311,358,409,65,34,0,18,305,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,12,1311,358,409,65,34,0,18,305,0,0,0
Mudanças efetivas,0,104,401,988,19,405,0,356,239,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,104,401,988,19,405,0,356,239,0,0,0
Saldo mudanças efetivas,12,1207,-43,-579,46,-371,0,-338,66,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),7498,100483,36296,52416,10200,28417,8,2498,6130,4250,15,0
Mudanças efetivas,26,1016,229,53,94,4,0,0,8,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,26,1016,229,53,94,4,0,0,8,0,0,0
Mudanças efetivas,0,183,620,492,14,17,0,12,92,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,183,620,492,14,17,0,12,92,0,0,0
Saldo mudanças efetivas,26,833,-391,-439,80,-13,0,-12,-84,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),7524,101316,35905,51977,10280,28404,8,2486,6046,4250,15,0
Mudanças efetivas,140,1314,106,3,236,0,0,0,2,0,0,0
Reavaliações para cima,708,490,134,766,2,99,0,10,106,1,1,0
Total de adições ao estoque,848,1804,240,769,238,99,0,10,108,1,1,0
Mudanças efetivas,0,159,951,475,109,4,0,11,92,0,0,0
Reavaliações para baixo,1150,48,18,930,1,20,0,18,114,10,8,0
Total de reduções do estoque,1150,207,969,1405,110,24,0,29,206,10,8,0
Saldo mudanças efetivas,140,1155,-845,-472,127,-4,0,-11,-90,0,0,0
Saldo reavaliações,-442,442,116,-164,1,79,0,-8,-8,-9,-7,0
Estoque (2020),7222,102913,35176,51341,10408,28479,8,2467,5948,4241,8,0
