TOCANTINS – ESTOQUES (KM²),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Área Artificial,Área Agrícola,Pastagem com Manejo,Mosaico de Ocupações em Área Florestal,Silvicultura,Vegetação Florestal,Área Úmida,Vegetação Campestre,Mosaico de Ocupações em Área Campestre,Corpo d'água Continental,Corpo d'água Costeiro,Área Descoberta
Estoque (2000),380,2966,40842,5031,10,29221,4,195666,1380,1897,0,1
Mudanças efetivas,71,3818,15004,662,179,18,0,8,356,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,71,3818,15004,662,179,18,0,8,356,0,0,0
Mudanças efetivas,0,16,374,2060,2,2858,0,14678,128,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,16,374,2060,2,2858,0,14678,128,0,0,0
Saldo mudanças efetivas,71,3802,14630,-1398,177,-2840,0,-14670,228,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2010),451,6768,55472,3633,187,26381,4,180996,1608,1897,0,1
Mudanças efetivas,7,610,1020,6,144,3,0,1,16,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,7,610,1020,6,144,3,0,1,16,0,0,0
Mudanças efetivas,0,21,121,133,0,181,0,1279,72,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,21,121,133,0,181,0,1279,72,0,0,0
Saldo mudanças efetivas,7,589,899,-127,144,-178,0,-1278,-56,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2012),458,7357,56371,3506,331,26203,4,179718,1552,1897,0,1
Mudanças efetivas,49,3582,2512,29,602,16,0,101,34,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,49,3582,2512,29,602,16,0,101,34,0,0,0
Mudanças efetivas,0,74,1642,421,0,204,0,4443,141,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,74,1642,421,0,204,0,4443,141,0,0,0
Saldo mudanças efetivas,49,3508,870,-392,602,-188,0,-4342,-107,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2014),507,10865,57241,3114,933,26015,4,175376,1445,1897,0,1
Mudanças efetivas,9,1346,578,122,50,10,0,5,103,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,9,1346,578,122,50,10,0,5,103,0,0,0
Mudanças efetivas,0,17,650,61,5,150,0,1323,17,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,17,650,61,5,150,0,1323,17,0,0,0
Saldo mudanças efetivas,9,1329,-72,61,45,-140,0,-1318,86,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2016),516,12194,57169,3175,978,25875,4,174058,1531,1897,0,1
Mudanças efetivas,11,1882,2981,313,64,94,0,126,195,0,0,0
Reavaliações para cima,0,0,0,0,0,0,0,0,0,0,0,0
Total de adições ao estoque,11,1882,2981,313,64,94,0,126,195,0,0,0
Mudanças efetivas,0,165,1339,453,27,602,0,2883,197,0,0,0
Reavaliações para baixo,0,0,0,0,0,0,0,0,0,0,0,0
Total de reduções do estoque,0,165,1339,453,27,602,0,2883,197,0,0,0
Saldo mudanças efetivas,11,1717,1642,-140,37,-508,0,-2757,-2,0,0,0
Saldo reavaliações,0,0,0,0,0,0,0,0,0,0,0,0
Estoque (2018),527,13911,58811,3035,1015,25367,4,171301,1529,1897,0,1
Mudanças efetivas,24,1338,1533,38,36,11,0,9,194,0,0,0
Reavaliações para cima,49,0,5,27,0,2,0,22,82,0,0,0
Total de adições ao estoque,73,1338,1538,65,36,13,0,31,276,0,0,0
Mudanças efetivas,0,51,816,145,6,233,0,1866,66,0,0,0
Reavaliações para baixo,137,0,17,5,0,2,0,7,18,1,0,0
Total de reduções do estoque,137,51,833,150,6,235,0,1873,84,1,0,0
Saldo mudanças efetivas,24,1287,717,-107,30,-222,0,-1857,128,0,0,0
Saldo reavaliações,-88,0,-12,22,0,0,0,15,64,-1,0,0
Estoque (2020),463,15198,59516,2950,1045,25145,4,169459,1721,1896,0,1
