Estado,perfil_conservador_Fuzzy_Score,perfil_especulativo_Fuzzy_Score,Cluster
AC,0.2110414963428833,0.5012845910399785,1
AL,0.204122090432175,0.5020385424682745,1
AM,0.3312427093838268,0.5453768489193382,2
AP,0.2092757515245856,0.5030685705623412,1
BA,0.25506702445802826,0.5208660030297743,0
CE,0.21149272777912748,0.5013563934202094,1
DF,0.1996797423801433,0.4981278497306794,1
ES,0.2042756079357238,0.49943190824143585,1
GO,0.19634336910387182,0.46704477672146044,1
MA,0.21225975000208724,0.4851788180168596,1
MG,0.24478188503105258,0.49875813731716906,0
MS,0.21467612634472352,0.476054907955938,1
MT,0.2555791860765786,0.4945837950217351,0
PA,0.27739194869090555,0.49309884122354514,0
PB,0.20804696421678912,0.504101567336512,1
PE,0.2125238986889865,0.5051686020122312,1
PI,0.21539218505185875,0.5068142706586044,1
PR,0.22093793948047566,0.5112994727948615,1
RJ,0.20232627070428827,0.4931305812300643,1
RN,0.2022645363877207,0.4969819155873681,1
RO,0.20839765936051508,0.4879310548894588,1
RR,0.2279435887243789,0.5117245564240628,1
RS,0.2163820744148271,0.5118843830802853,1
SC,0.2102404053608853,0.5031605938393976,1
SE,0.2042591099953777,0.5018786050031622,1
SP,0.21686279180969206,0.49211123797801287,1
TO,0.19957160639160407,0.48778483153205116,1
