Estado,perfil_conservador_Fuzzy_Score,perfil_exportador_Fuzzy_Score,Cluster
AC,0.2110414963428833,0.15216028682618893,1
AL,0.204122090432175,0.1548026709636737,1
AM,0.3312427093838268,0.21350878685147032,2
AP,0.2092757515245856,0.152639614686823,1
BA,0.25506702445802826,0.19583368200802556,0
CE,0.21149272777912748,0.15516109472240083,1
DF,0.1996797423801433,0.15017309347934438,1
ES,0.2042756079357238,0.15353770793468385,1
GO,0.19634336910387182,0.17772335304043202,1
MA,0.21225975000208724,0.1684487424866742,1
MG,0.24478188503105258,0.2002446212123273,0
MS,0.21467612634472352,0.20306531777534031,0
MT,0.2555791860765786,0.259279029655288,0
PA,0.27739194869090555,0.1820978030361329,0
PB,0.20804696421678912,0.15585048484946926,1
PE,0.2125238986889865,0.15922461077119543,1
PI,0.21539218505185875,0.1611589633526401,1
PR,0.22093793948047566,0.19646280432344096,0
RJ,0.20232627070428827,0.15061759789908086,1
RN,0.2022645363877207,0.15094639888880093,1
RO,0.20839765936051508,0.15341934859100645,1
RR,0.2279435887243789,0.18117137816089482,0
RS,0.2163820744148271,0.20083553746099803,0
SC,0.2102404053608853,0.15943363950016828,1
SE,0.2042591099953777,0.15329251092869425,1
SP,0.21686279180969206,0.2040450439362101,0
TO,0.19957160639160407,0.1541802388965387,1
