Estado,Ano,Área Agrícola,Pastagem com Manejo,Vegetação Florestal,Mosaico de Ocupações em Área Florestal,Mosaico de Ocupações em Área Campestre,Área Descoberta,Área Artificial,Área Úmida
AC,2000,44,7378,150874,5615,0,0,95,0
AC,2010,6,11549,144871,7445,0,0,135,0
AC,2012,8,11656,144625,7579,0,1,137,0
AC,2014,8,12141,143308,8391,0,1,157,0
AC,2016,8,12500,142941,8398,0,1,158,0
AC,2018,21,12795,142017,9014,0,1,158,0
AC,2020,36,13441,141108,9282,0,1,138,0
AL,2000,4597,2682,1150,10758,3738,32,268,0
AL,2010,4635,2725,1104,10733,3749,32,273,0
AL,2012,4712,2725,1008,10759,3874,32,275,0
AL,2014,4756,2723,942,10779,4045,32,283,0
AL,2016,4781,2716,936,10762,4178,32,286,0
AL,2018,4770,2723,944,10739,4170,32,286,0
AL,2020,4725,2722,947,10683,4177,32,330,0
AM,2000,180,2598,1449691,9936,518,0,542,7580
AM,2010,103,6349,1439022,16932,575,0,585,7564
AM,2012,106,7092,1437033,18179,581,0,592,7562
AM,2014,69,7482,1434884,19970,588,0,597,7399
AM,2016,68,7848,1430950,23538,615,0,599,7392
AM,2018,83,8413,1430012,23887,627,0,608,7392
AM,2020,130,9704,1428402,24290,610,0,556,7392
AP,2000,5,166,114311,790,223,0,169,165
AP,2010,7,243,113446,1587,269,0,179,165
AP,2012,4,248,113122,1904,280,0,181,165
AP,2014,136,145,113110,1913,264,0,184,165
AP,2016,153,145,112899,2119,279,0,184,161
AP,2018,191,144,112824,2190,278,0,184,161
AP,2020,241,147,112803,2196,278,0,132,161
BA,2000,16681,48799,110153,111404,50669,183,1513,21
BA,2010,25008,52849,106093,108330,53749,183,1590,21
BA,2012,28648,53977,103205,110115,55313,183,1620,21
BA,2014,30618,54814,102015,110243,56765,183,1651,54
BA,2016,30893,54962,101592,110552,57313,183,1665,69
BA,2018,31302,55429,101931,109882,57200,183,1690,69
BA,2020,32150,55589,101853,109488,57196,183,1847,69
BR,2000,458975,885186,4039569,844506,232340,3680,34567,33888
BR,2010,556232,1099031,3823520,826977,240963,3695,36217,33877
BR,2012,583768,1126106,3787264,826680,247715,3696,36730,33799
BR,2014,624632,1123824,3764779,824024,250437,3699,37461,33773
BR,2016,643769,1118893,3740024,839894,252857,3744,37773,33873
BR,2018,664784,1125194,3732236,829071,252609,3749,38294,33868
BR,2020,688900,1132213,3718891,820941,253204,3742,37366,33585
CE,2000,2033,698,22092,7230,26281,571,1148,0
CE,2010,2324,817,21630,7655,29233,572,1185,0
CE,2012,2778,834,20751,8467,29696,573,1252,0
CE,2014,2844,911,20701,8504,29570,576,1267,0
CE,2016,2931,912,20723,8490,29615,576,1268,0
CE,2018,2996,915,20856,8335,29748,576,1285,0
CE,2020,3033,935,20837,8369,29892,571,1085,0
DF,2000,1132,174,59,0,437,0,666,0
DF,2010,1302,220,58,0,442,0,700,0
DF,2012,1373,219,57,0,427,0,718,0
DF,2014,1377,210,57,0,420,0,725,0
DF,2016,1377,210,57,0,420,0,725,0
DF,2018,1387,209,57,0,422,0,728,0
DF,2020,1393,215,56,0,579,0,543,0
ES,2000,739,9813,3855,25366,1567,0,608,0
ES,2010,1914,9894,3477,24302,1551,0,620,0
ES,2012,2059,9898,3421,24379,1558,0,621,0
ES,2014,2070,9906,3427,24347,1558,0,622,0
ES,2016,2063,9885,3475,24324,1562,0,622,0
ES,2018,2073,9823,3467,24322,1566,0,622,0
ES,2020,2054,9795,3483,24363,1572,0,512,0
GO,2000,46984,133612,30355,9646,3189,0,2060,32
GO,2010,57316,153350,23237,3854,1654,0,2162,32
GO,2012,59982,155669,22055,3109,1530,0,2209,32
GO,2014,63913,154082,21629,2618,1288,0,2262,32
GO,2016,64763,153664,21615,2516,1193,0,2269,32
GO,2018,66612,152354,21550,2542,1237,0,2291,32
GO,2020,68359,151588,21442,2671,1426,0,1876,32
MA,2000,4468,36673,75671,80817,12222,1284,947,3398
MA,2010,8008,54637,69750,68141,12805,1286,1127,3398
MA,2012,8689,60828,68088,63664,12808,1286,1163,3398
MA,2014,10194,62410,67170,62555,13209,1286,1229,3403
MA,2016,11233,62636,65492,63199,13195,1286,1276,3401
MA,2018,12767,63159,66690,60616,13213,1287,1293,3401
MA,2020,13650,64082,66361,59792,13514,1286,1024,3399
MG,2000,33102,108732,56940,159615,36617,0,3863,5
MG,2010,43469,112299,54368,155249,36223,0,3992,4
MG,2012,46046,115167,52614,154799,36681,0,4033,2
MG,2014,47432,115485,52450,153815,36209,0,4058,2
MG,2016,49476,115123,51535,154033,37494,0,4076,2
MG,2018,50449,114876,51590,153607,37339,0,4139,2
MG,2020,53878,114345,51598,152033,37085,0,3941,2
MS,2000,28633,156353,46495,6913,3384,0,870,6126
MS,2010,32692,162294,45368,5654,2519,0,895,6133
MS,2012,34568,161334,45173,4945,2342,0,910,6065
MS,2014,40901,154686,44976,4683,2153,0,916,6141
MS,2016,43330,152276,44949,4489,2058,0,918,6188
MS,2018,45462,149910,44657,4405,2113,0,919,6188
MS,2020,48801,147635,44310,4386,2132,0,839,5966
MT,2000,68582,144103,426760,24657,2739,3,1117,8616
MT,2010,91436,189528,374141,23416,2713,3,1270,8613
MT,2012,95878,194891,365108,24041,2661,3,1293,8585
MT,2014,108529,191122,360320,22077,2556,3,1328,8595
MT,2016,113610,188060,357205,23609,2575,3,1337,8646
MT,2018,119198,189553,354242,21387,2463,3,1415,8642
MT,2020,124784,190016,351789,19360,2519,3,1308,8591
PA,2000,1086,74111,1005023,65768,3214,117,1392,2760
PA,2010,2827,145353,917224,80583,3605,118,1651,2761
PA,2012,3116,152244,906147,84275,3679,122,1705,2760
PA,2014,5727,154523,901188,84040,3703,122,1955,2765
PA,2016,7241,153647,891046,93441,3784,122,2022,2765
PA,2018,9158,157510,888936,89985,3771,122,2114,2764
PA,2020,10496,162000,884129,89143,3762,123,1922,2765
PB,2000,1515,1031,4505,2629,11008,0,454,1
PB,2010,1632,1071,4455,2591,11697,0,461,1
PB,2012,1670,1081,4386,2658,13091,0,475,1
PB,2014,1673,1106,4367,2662,13372,0,479,1
PB,2016,1670,1113,4368,2660,13453,0,493,1
PB,2018,1669,1098,4351,2676,13537,0,504,1
PB,2020,1700,1100,4362,2668,13558,0,457,1
PE,2000,2431,4130,4854,15540,13688,0,862,0
PE,2010,2774,4275,4668,15455,16228,0,896,0
PE,2012,2958,4271,4481,15621,18422,0,907,0
PE,2014,2796,4387,4498,15592,18816,0,925,0
PE,2016,2803,4502,4501,15586,18719,0,938,0
PE,2018,2829,4462,4489,15586,18972,0,957,0
PE,2020,2868,4477,4478,15550,19002,0,993,0
PI,2000,3349,838,50871,14332,21904,381,439,0
PI,2010,6979,983,50193,14662,22645,391,512,0
PI,2012,9401,1106,49668,14780,22828,391,554,0
PI,2014,10938,1261,49335,14852,23140,391,590,0
PI,2016,11903,1324,49199,14830,23197,391,616,0
PI,2018,12163,1454,49725,14236,23550,395,627,0
PI,2020,12824,1541,49742,14259,23671,392,596,1
PR,2000,66176,19426,23389,72203,2609,0,2230,0
PR,2010,69978,18953,23167,68182,2536,0,2239,0
PR,2012,70556,18981,23088,67211,2556,0,2246,0
PR,2014,70963,18857,23082,67019,2558,0,2250,0
PR,2016,71179,18849,23051,66861,2628,0,2251,0
PR,2018,71577,18739,23039,66536,2608,0,2272,0
PR,2020,72152,18421,23049,65919,2559,0,2616,0
RJ,2000,629,6028,8703,22025,2043,0,2358,0
RJ,2010,573,6223,8141,22442,2042,0,2383,0
RJ,2012,579,6229,7979,22568,2047,0,2399,0
RJ,2014,566,6229,7979,22574,2046,0,2406,0
RJ,2016,554,6229,7976,22582,2054,0,2406,0
RJ,2018,606,6264,7973,22497,2032,0,2429,0
RJ,2020,603,6310,8026,22364,2055,0,2419,0
RN,2000,2194,1966,1848,1287,10488,301,995,0
RN,2010,2485,2129,1816,1217,11534,301,1062,0
RN,2012,2602,2141,1740,1284,12308,301,1082,0
RN,2014,2658,2218,1740,1273,12285,301,1097,0
RN,2016,2669,2199,1734,1274,12301,305,1119,0
RN,2018,2748,2176,1740,1263,12248,305,1134,0
RN,2020,2784,2174,1740,1262,12228,307,1142,0
RO,2000,1337,37714,166770,16169,69,0,450,211
RO,2010,1840,62574,139886,17885,195,0,523,212
RO,2012,2006,64449,138018,17704,198,0,536,231
RO,2014,2213,68231,133573,18139,227,0,552,231
RO,2016,3364,69159,130657,18985,321,0,579,231
RO,2018,3740,70973,128872,18529,337,0,584,231
RO,2020,4390,73616,126761,17491,373,0,533,231
RR,2000,324,574,175223,3270,108,0,149,4735
RR,2010,411,1017,171969,6078,181,0,155,4735
RR,2012,415,1090,170677,7298,203,0,155,4735
RR,2014,489,1267,169642,8149,214,0,168,4735
RR,2016,526,1389,169285,8374,234,0,170,4735
RR,2018,698,1455,169008,8572,242,0,170,4735
RR,2020,911,1640,168566,8810,264,0,155,4735
RS,2000,82648,812,18233,51815,8318,728,2035,0
RS,2010,89600,816,17882,50919,8352,728,2116,0
RS,2012,91324,800,17800,50770,8495,723,2126,0
RS,2014,93601,801,17681,50619,9176,723,2132,0
RS,2016,94496,800,17674,50601,9145,723,2139,0
RS,2018,96736,786,17652,50355,8592,723,2176,0
RS,2020,98302,785,17602,49915,8406,724,2648,0
SC,2000,7182,1364,21385,47746,2261,24,1229,0
SC,2010,8315,1307,21284,45754,2293,24,1275,0
SC,2012,8384,1308,21258,45579,2303,24,1283,0
SC,2014,8394,1308,21257,45592,2327,24,1288,0
SC,2016,8411,1333,21241,45572,2431,24,1295,0
SC,2018,8706,1301,21226,45395,2347,24,1308,0
SC,2020,8890,1296,21255,44885,2294,24,1695,0
SE,2000,831,3139,1266,7467,5360,14,166,1
SE,2010,944,3614,1258,6946,5671,14,166,1
SE,2012,1452,3562,1252,6930,5967,14,166,1
SE,2014,1462,3563,1249,6931,6304,14,167,1
SE,2016,1423,3571,1242,6925,6294,55,168,1
SE,2018,1441,3583,1242,6908,6284,55,170,1
SE,2020,1453,3576,1244,6853,6267,56,235,1
SP,2000,79026,41017,30439,65916,8187,0,7385,8
SP,2010,92758,38087,29226,56758,6774,0,7434,8
SP,2012,96950,37549,28906,53978,6195,0,7454,8
SP,2014,99276,36339,28788,52995,6064,0,7486,8
SP,2016,100483,36296,28417,52416,6130,0,7498,8
SP,2018,101316,35905,28404,51977,6046,0,7524,8
SP,2020,102913,35176,28479,51341,5948,0,7222,8
TO,2000,2966,40842,29221,5031,1380,1,380,4
TO,2010,6768,55472,26381,3633,1608,1,451,4
TO,2012,7357,56371,26203,3506,1552,1,458,4
TO,2014,10865,57241,26015,3114,1445,1,507,4
TO,2016,12194,57169,25875,3175,1531,1,516,4
TO,2018,13911,58811,25367,3035,1529,1,527,4
TO,2020,15198,59516,25145,2950,1721,1,463,4
