Estado,Ano,perfil_especulativo_Fuzzy_Score
AM,2000,0.5460841311259879
BA,2016,0.5219343891652458
RS,2018,0.5128695791174213
PA,2000,0.5119884839654246
RR,2020,0.5118707078335054
PR,2016,0.511598901695259
PI,2020,0.5074943322822352
PE,2014,0.5056116925999327
PB,2020,0.5044730144345483
SC,2000,0.5035412366465575
AP,2020,0.5033039951041178
AC,2000,0.5024901432456765
SE,2014,0.502283395220663
CE,2020,0.5022579543518493
AL,2016,0.5021279506843478
MG,2020,0.5002923658355991
MT,2000,0.5000067441536864
ES,2020,0.4998419213631574
DF,2020,0.4987530863359336
RN,2012,0.4972009523463749
RO,2000,0.4953203870241268
SP,2020,0.49428143987263
RJ,2000,0.4933194134303539
MA,2000,0.4921036785343837
TO,2000,0.4905960799103632
MS,2020,0.4798775824222615
GO,2000,0.4703429627668867
